Demand (GW),Nuclear (GW),Solar (GW),Wind (GW),Biomass(GW),Gas(GW),Hydro (GW),time
200,60.7675,0.3175,55.4375,11.76,44.55,28.5275,0
190,59.755,0.3025,54.715,11.65,42.87,24.0775,1
185,59.265,0.2975,53.865,11.64,41.47,21.485,2
180,59.1625,0.2925,52.2475,11.63,41.64,20.3225,3
178,59.1175,0.3275,52.65,11.65,42.46,20.155,4
175,59.86,0.655,52.48,11.66,43.33,25.07,5
190,60.98,2.335,53.1175,11.77,44.24,36.37,6
220,61.7875,8.275,53.24,11.83,44.2,46.5925,7
260,62.005,22.62,51.3875,11.88,43.23,49.0775,8
280,62.0075,43.42,48.3525,11.87,42.69,43.915,9
300,61.94,62.1325,45.11,11.83,43.55,35.86,10
310,61.5975,74.3375,45.065,11.79,44.23,27.7525,11
315,61.3075,79.525,43.9525,11.8,44.49,22.355,12
300,60.95,79.13,43.23,11.76,46.27,21,13
290,61.2325,73.5775,41.4325,11.65,53.17,22.2475,14
295,61.23,63.3275,41.245,11.75,57.84,25.905,15
310,61.5075,49.765,40.8025,11.8,61.46,30.8825,16
330,61.675,33.765,41.5925,11.82,63.25,37.26,17
350,61.6425,22.6575,43.415,11.81,62.42,44.7925,18
360,62.2375,11.3775,43.6025,11.85,62.04,52.2875,19
340,62.5175,4.1775,43.345,11.84,59.16,53.5,20
320,62.7275,0.91,43.015,11.7,55.59,50.1175,21
300,62.7275,0.415,42.7525,11.54,50.22,43.715,22
260,62.73,0.3125,42.865,11.13,44.19,37.21,23
